symbol,sector
AAPL,Technology
MSFT,Technology
NVDA,Technology
AMZN,ConsumerDiscretionary
GOOGL,Communication
META,Communication
BRK-B,Financials
TSLA,ConsumerDiscretionary
AVGO,Technology
JPM,Financials
LLY,HealthCare
V,Financials
UNH,HealthCare
XOM,Energy
MA,Financials
JNJ,HealthCare
PG,ConsumerStaples
COST,ConsumerStaples
HD,ConsumerDiscretionary
ABBV,HealthCare
WMT,ConsumerStaples
BAC,Financials
NFLX,Communication
CRM,Technology
KO,ConsumerStaples
CVX,Energy
MRK,HealthCare
AMD,Technology
PEP,ConsumerStaples
TMO,HealthCare
ORCL,Technology
CSCO,Technology
ACN,Technology
ADBE,Technology
MCD,ConsumerDiscretionary
LIN,Materials
ABT,HealthCare
WFC,Financials
TXN,Technology
DHR,HealthCare
IBM,Technology
GE,Industrials
CAT,Industrials
PM,ConsumerStaples
INTU,Technology
QCOM,Technology
VZ,Communication
AMGN,HealthCare
ISRG,HealthCare
DIS,Communication
NOW,Technology
CMCSA,Communication
SPGI,Financials
PFE,HealthCare
GS,Financials
UBER,Industrials
AMAT,Technology
UNP,Industrials
RTX,Industrials
BKNG,ConsumerDiscretionary
LOW,ConsumerDiscretionary
AXP,Financials
T,Communication
HON,Industrials
NKE,ConsumerDiscretionary
BLK,Financials
SYK,HealthCare
PGR,Financials
ELV,HealthCare
NEE,Utilities
TJX,ConsumerDiscretionary
LMT,Industrials
BA,Industrials
MDT,HealthCare
COP,Energy
DE,Industrials
ADP,Industrials
SBUX,ConsumerDiscretionary
GILD,HealthCare
C,Financials
PLD,RealEstate
MMC,Financials
BX,Financials
MDLZ,ConsumerStaples
ADI,Technology
VRTX,HealthCare
CB,Financials
REGN,HealthCare
LRCX,Technology
SCHW,Financials
ETN,Industrials
MU,Technology
KLAC,Technology
CI,HealthCare
CMG,ConsumerDiscretionary
ANET,Technology
PANW,Technology
MO,ConsumerStaples
SO,Utilities
BSX,HealthCare
ZTS,HealthCare
WM,Industrials
CVS,HealthCare
TGT,ConsumerStaples
ITW,Industrials
EQIX,RealEstate
MS,Financials
APH,Technology
BDX,HealthCare
EOG,Energy
CL,ConsumerStaples
DUK,Utilities
PNC,Financials
SLB,Energy
ICE,Financials
PYPL,Financials
CME,Financials
NOC,Industrials
FDX,Industrials
SHW,Materials
EMR,Industrials
AON,Financials
USB,Financials
PSA,RealEstate
MCK,HealthCare
CSX,Industrials
GD,Industrials
APD,Materials
ORLY,ConsumerDiscretionary
MAR,ConsumerDiscretionary
AJG,Financials
WELL,RealEstate
ROP,Technology
HCA,HealthCare
NXPI,Technology
AZO,ConsumerDiscretionary
AFL,Financials
CTAS,Industrials
OKE,Energy
SRE,Utilities
ECL,Materials
TRV,Financials
PCAR,Industrials
F,ConsumerDiscretionary
GM,ConsumerDiscretionary
DAL,Industrials
WBD,Communication
GEV,Industrials
GEHC,HealthCare
SOLV,HealthCare
KVUE,ConsumerStaples
MMM,Industrials
SMCI,Technology
DECK,ConsumerDiscretionary
FAST,Industrials
XRX,Technology
AMC,Communication
