symbol,group,sector
SPY,us_broad,Broad
QQQ,us_broad,Broad
IWM,us_broad,Broad
DIA,us_broad,Broad
MDY,us_broad,Broad
IJH,us_broad,Broad
IJR,us_broad,Broad
VTI,us_broad,Broad
RSP,us_broad,Broad
XLK,us_sector,Technology
XLF,us_sector,Financials
XLE,us_sector,Energy
XLV,us_sector,HealthCare
XLI,us_sector,Industrials
XLY,us_sector,ConsumerDiscretionary
XLP,us_sector,ConsumerStaples
XLU,us_sector,Utilities
XLB,us_sector,Materials
XLRE,us_sector,RealEstate
XLC,us_sector,Communication
SMH,us_sector,Technology
XBI,us_sector,HealthCare
IBB,us_sector,HealthCare
KRE,us_sector,Financials
KBE,us_sector,Financials
XHB,us_sector,ConsumerDiscretionary
ITB,us_sector,ConsumerDiscretionary
XOP,us_sector,Energy
OIH,us_sector,Energy
XME,us_sector,Materials
GDX,us_sector,Materials
VNQ,us_sector,RealEstate
IYR,us_sector,RealEstate
XRT,us_sector,ConsumerDiscretionary
IYT,us_sector,Industrials
IWF,us_style,Style
IWD,us_style,Style
VUG,us_style,Style
VTV,us_style,Style
IWN,us_style,Style
IWO,us_style,Style
MTUM,us_style,Style
QUAL,us_style,Style
USMV,us_style,Style
VLUE,us_style,Style
SPLV,us_style,Style
SPHB,us_style,Style
EFA,intl_equity,Intl
EEM,intl_equity,Intl
VEA,intl_equity,Intl
VWO,intl_equity,Intl
EZU,intl_equity,Intl
EWJ,intl_equity,Intl
EWZ,intl_equity,Intl
EWY,intl_equity,Intl
EWT,intl_equity,Intl
EWG,intl_equity,Intl
EWU,intl_equity,Intl
EWC,intl_equity,Intl
EWA,intl_equity,Intl
EWH,intl_equity,Intl
EWW,intl_equity,Intl
EWL,intl_equity,Intl
EPP,intl_equity,Intl
ILF,intl_equity,Intl
FXI,intl_equity,Intl
MCHI,intl_equity,Intl
INDA,intl_equity,Intl
TLT,bond,Bond
IEF,bond,Bond
SHY,bond,Bond
TIP,bond,Bond
AGG,bond,Bond
BND,bond,Bond
LQD,bond,Bond
HYG,bond,Bond
JNK,bond,Bond
EMB,bond,Bond
MBB,bond,Bond
MUB,bond,Bond
BKLN,bond,Bond
GLD,commodity,Commodity
SLV,commodity,Commodity
USO,commodity,Commodity
UNG,commodity,Commodity
DBC,commodity,Commodity
DBA,commodity,Commodity
PPLT,commodity,Commodity
CPER,commodity,Commodity
UUP,currency,Currency
FXE,currency,Currency
FXY,currency,Currency
