symbol,name,group,sector,tick,multiplier
ES=F,E-mini S&P 500,equity_index,EquityIndex,0.25,50
NQ=F,E-mini Nasdaq-100,equity_index,EquityIndex,0.25,20
RTY=F,E-mini Russell 2000,equity_index,EquityIndex,0.10,50
YM=F,E-mini Dow,equity_index,EquityIndex,1.0,5
NKD=F,Nikkei 225 (USD),equity_index,EquityIndex,5.0,5
ZB=F,30y T-Bond,rates,Rates,0.03125,1000
ZN=F,10y T-Note,rates,Rates,0.015625,1000
ZF=F,5y T-Note,rates,Rates,0.0078125,1000
ZT=F,2y T-Note,rates,Rates,0.0078125,2000
CL=F,WTI crude,energy,Energy,0.01,1000
BZ=F,Brent crude,energy,Energy,0.01,1000
NG=F,Henry Hub gas,energy,Energy,0.001,10000
RB=F,RBOB gasoline,energy,Energy,0.0001,42000
HO=F,Heating oil,energy,Energy,0.0001,42000
GC=F,Gold,metals,Metals,0.10,100
SI=F,Silver,metals,Metals,0.005,5000
HG=F,Copper,metals,Metals,0.0005,25000
PL=F,Platinum,metals,Metals,0.10,50
PA=F,Palladium,metals,Metals,0.10,100
ZC=F,Corn,ags,Ags,0.25,50
ZS=F,Soybeans,ags,Ags,0.25,50
ZW=F,Wheat,ags,Ags,0.25,50
KC=F,Coffee,ags,Ags,0.05,375
SB=F,Sugar,ags,Ags,0.01,1120
CT=F,Cotton,ags,Ags,0.01,500
CC=F,Cocoa,ags,Ags,1.0,10
LE=F,Live cattle,ags,Ags,0.025,400
HE=F,Lean hogs,ags,Ags,0.025,400
6E=F,Euro FX,fx,FX,0.00005,125000
6J=F,Japanese yen,fx,FX,0.0000005,12500000
6B=F,British pound,fx,FX,0.0001,62500
6A=F,Australian dollar,fx,FX,0.0001,100000
6C=F,Canadian dollar,fx,FX,0.00005,100000
6S=F,Swiss franc,fx,FX,0.0001,125000
